Be a Missionary—Always—Everywhere You Go!,William H. Bennett,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4060-elder-william-h-bennett-64k-eng.mp3?download=true
A Teacher,Howard W. Hunter,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4070-elder-howard-w-hunter-64k-eng.mp3?download=true
A Missionary and His Message,Hugh B. Brown,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-4080-elder-hugh-b-brown-64k-eng.mp3?download=true
Eternal Keys and the Right to Preside,Joseph Fielding Smith,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5010-president-joseph-fielding-smith-64k-eng.mp3?download=true
The Aaronic Priesthood—A Sure Foundation,Victor L. Brown,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5020-bishop-victor-l-brown-64k-eng.mp3?download=true
The Fullness of the Gospel in Each Man’s Language,J. Thomas Fyans,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5030-elder-j-thomas-fyans-64k-eng.mp3?download=true
Know Thyself, Control Thyself, Give Thyself,Paul H. Dunn,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5040-elder-paul-h-dunn-64k-eng.mp3?download=true
The Covenant of the Priesthood,Marion G. Romney,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5050-elder-marion-g-romney-64k-eng.mp3?download=true
The Priesthood: A Royal Army,N. Eldon Tanner,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5060-president-n-eldon-tanner-64k-eng.mp3?download=true
The Strength of the Priesthood,Harold B. Lee,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-5070-president-harold-b-lee-64k-eng.mp3?download=true
A Time of Decision,Harold B. Lee,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6010-president-harold-b-lee-64k-eng.mp3?download=true
Joy through Christ,Marion D. Hanks,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6020-elder-marion-d-hanks-64k-eng.mp3?download=true
A Foundation Whereon Men Cannot Fall,David B. Haight,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6030-elder-david-b-haight-64k-eng.mp3?download=true
The Testimony of Jesus,Bruce R. McConkie,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6040-elder-bruce-r-mcconkie-64k-eng.mp3?download=true
Why Stay Morally Clean,Boyd K. Packer,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-6050-elder-boyd-k-packer-64k-eng.mp3?download=true
The True Church,LeGrand Richards,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7010-elder-legrand-richards-64k-eng.mp3?download=true
Peace,Eldred G. Smith,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7020-elder-eldred-g-smith-64k-eng.mp3?download=true
Priesthood—Its Power and Vitality,A. Theodore Tuttle,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7030-elder-a-theodore-tuttle-64k-eng.mp3?download=true
Knowing God,Bernard P. Brockbank,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7040-elder-bernard-p-brockbank-64k-eng.mp3?download=true
Medicine for the Soul,Sterling W. Sill,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7050-elder-sterling-w-sill-64k-eng.mp3?download=true
Whence Cometh Our Peace?,John H. Vandenberg,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7060-elder-john-h-vandenberg-64k-eng.mp3?download=true
A Prophet’s Blessing,Joseph Fielding Smith,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-7070-president-joseph-fielding-smith-64k-eng.mp3?download=true
Sustaining of Church Authorities and Officers,N. Eldon Tanner,October 1972,None
“May the Kingdom of God Go Forth”,Harold B. Lee,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1020-president-harold-b-lee-64k-eng.mp3?download=true
“I Know That My Redeemer Lives”,Bruce R. McConkie,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1030-elder-bruce-r-mcconkie-64k-eng.mp3?download=true
Becoming a Somebody,John H. Vandenberg,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1040-elder-john-h-vandenberg-64k-eng.mp3?download=true
“We Thank Thee, O God, for a Prophet”,Spencer W. Kimball,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-1050-president-spencer-w-kimball-64k-eng.mp3?download=true
What Is a Friend?,Marvin J. Ashton,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2010-elder-marvin-j-ashton-64k-eng.mp3?download=true
Entrance into the Kingdom of God,Bernard P. Brockbank,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2020-elder-bernard-p-brockbank-64k-eng.mp3?download=true
Light and Knowledge to the World,Joseph Anderson,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2030-elder-joseph-anderson-64k-eng.mp3?download=true
We Have Made Covenants with the Lord,ElRay L. Christiansen,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2040-elder-eiray-l-christiansen-64k-eng.mp3?download=true
Genealogy: A Personal Responsibility,Theodore M. Burton,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2050-elder-theodore-m-burton-64k-eng.mp3?download=true
Why Do Latter-day Saints Build Temples?,Eldred G. Smith,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2060-elder-eldred-g-smith-64k-eng.mp3?download=true
Listen to a Prophet’s Voice,Ezra Taft Benson,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-2070-elder-ezra-taft-benson-64k-eng.mp3?download=true
Teach the Gospel of Salvation,Harold B. Lee,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3010-president-harold-b-lee-64k-eng.mp3?download=true
Spiritual Famine,Howard W. Hunter,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3020-elder-howard-w-hunter-64k-eng.mp3?download=true
Altar, Tent, Well,A. Theodore Tuttle,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3030-elder-a-theodore-tuttle-64k-eng.mp3?download=true
“By Love, Serve One Another”,Victor L. Brown,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3040-bishop-victor-l-brown-64k-eng.mp3?download=true
Why The Church of Jesus Christ of Latter-day Saints,Marion G. Romney,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-3050-president-marion-g-romney-64k-eng.mp3?download=true
“Thy Will Be Done, O Lord”,Franklin D. Richards,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4010-elder-franklin-d-richards-64k-eng.mp3?download=true
Planting Gospel Seeds of Spirituality,David B. Haight,October 1972,https://media2.ldscdn.org/assets/general-conference/october-1972-general-conference/1972-10-4020-elder-david-b-haight-64k-eng.mp3?download=true
